landing_page,family,current_sessions,previous_sessions,current_engaged_sessions,previous_engaged_sessions,current_cta_key_event_occurrences,previous_cta_key_event_occurrences
/,Homepage,124,106,110,94,28,35
(not set),Unknown landing,58,49,6,8,0,0
/quotes-for-cabinet-makers,National trade,31,28,26,25,8,3
/quotes-for-cleaners,National trade,17,12,13,11,1,5
/get-paid/taking-deposits-australia,get-paid,15,7,14,6,0,0
/quotes-for-concreters,National trade,15,10,12,8,4,2
/best/app-for-electricians,best,14,3,9,1,1,0
/quotes-for-landscapers,National trade,14,15,10,11,6,5
/app/Main/Dashboard,Product / utility,12,12,11,8,0,0
/quotes-for-electricians,National trade,12,12,11,9,3,3
/quotes-for-painters,National trade,12,15,10,10,3,6
/templates/bathroom-renovation-quote-template,templates,12,7,11,6,0,2
/quotes-for-welders,National trade,11,8,7,6,3,3
/templates/ducted-aircon-quote-template,templates,11,7,6,5,1,0
/best/quoting-app-for-tradies,best,10,1,10,1,2,0
/quotes-for-plumbers,National trade,10,3,9,3,2,0
/articles/how-to-quote-electrical-work,articles,9,15,7,12,1,3
/articles/how-to-quote-a-bathroom-renovation,articles,8,1,6,1,1,0
/quotes-for-carpenters,National trade,8,14,6,10,3,7
/articles/how-much-should-i-charge-for-callout-fees,articles,7,3,5,2,0,1
/articles/how-to-quote-concrete-driveway,articles,7,9,6,8,1,1
/best/app-for-plumbers,best,7,2,5,2,0,0
/q,Product / utility,7,1,3,0,0,0
/quotes-for-plasterers,National trade,7,9,5,6,0,2
/templates/colorbond-fence-quote-template,templates,7,3,6,3,3,3
/quotes-for-roofers,National trade,6,11,5,10,1,2
/templates,templates,6,19,5,17,0,0
/quotes-for-fencers,National trade,5,12,4,10,3,6
/quotes-for-hvac-technicians,National trade,5,6,4,5,1,1
/quotes-for-tilers,National trade,5,5,3,4,3,1
/app,Product / utility,4,2,3,1,0,0
/articles/how-to-quote-tile-and-slate-work,articles,4,4,3,3,0,3
/compare/chatgpt,compare,4,0,4,0,0,0
/quotes-for-builders,National trade,4,5,4,3,0,0
/templates/fence-quote-template,templates,4,2,3,2,1,1
/articles/how-to-quote-a-retaining-wall,articles,3,4,2,4,0,0
/best,best,3,0,3,0,0,0
/quotes-for-arborists,National trade,3,0,3,0,0,0
/quotes-for-demolishers,National trade,3,5,2,3,1,1
/quotes-for-flooring-installers,National trade,3,3,3,2,0,0
/quotes-for-glaziers,National trade,3,0,1,0,0,0
/quotes-for-renderers,National trade,3,1,2,1,1,0
/templates/concrete-driveway-quote-template,templates,3,0,1,0,1,0
/templates/concrete-slab-quote-template,templates,3,0,3,0,0,0
/templates/end-of-lease-cleaning-quote-template,templates,3,3,1,2,0,0
/templates/solar-installation-quote-template,templates,3,3,2,2,0,0
/alternatives/servicem8,alternatives,2,1,2,1,0,0
/alternatives/simpro,alternatives,2,2,2,1,0,0
